Qtr.,Course number,Title,Type,Units,Hrs/Week,Enrollment,eval_a,eval_b,review_period
S17,ENVS193GI,Geographic Information Systems for Environmental Applications,Primary,4,3,37,1.6,1.9,1
F17,ENVS30,Introduction to Environmental Economics,Primary,4,3,65,2,2.1,2
S18,ENVS154,Geographic Information Systems for Environmental Applications,Primary,4,3,42,1.3,1.4,2
F18,ENVS194ES,Food and agriculture faculty search,Primary,2,1.5,9,1,1,2
W19,ENVS30,Introduction to Environmental Economics,Primary,4,3,72,1.7,1.8,2
W19,ESM514,Collaborative Interdisciplinary Research,Primary,4,1.5,7,1.2,2,2
