start_date,end_date,Position,organization,detail,review_period
2016,present,Member,High Carbon Stock Approach,Scientific Advisory Committee,2
2016,2017,Working group member,National Socio-Environmental Synthesis Center (SESYNC) Pursuit,"""Assessing the potential influence of zero-deforestation corporate supply chain commitments on tropical land cover""",2
2019,present,Working group leader,Science for Nature and People Partnership (SNAPP) Working Group,"""Zero deforestation landscapes""",2
2018,present,Fellow,Environmental Market Solutions Lab (emLab),,2
