Date,Location,Title,Event,Role,review_period
"April, 2019","Yogyakarta, Indonesia",Zero-deforestation oil palm: Barriers and opportunities for smallholder producers,"Science for Nature and People Partnership, Zero-deforestation landscapes working group",Organizer,2
"April, 2019","Bern, Switzerland",The role of supply chain initiatives in reducing deforestation,"Global Land Program, Open Science Meeting",Session co-chair,2
"April, 2019","Bern, Switzerland",Industry perspectives on achieving zero-deforestation,"Global Land Program, Open Science Meeting",Session co-chair,2
